"","pathway","hsa"
"1","map01524",578
"2","map04141",578
"3","map04210",578
"4","map04215",578
"5","map05022",578
"6","map05130",578
"7","map05132",578
"8","map05160",578
"9","map05162",578
"10","map05163",578
"11","map05164",578
"12","map05165",578
"13","map05167",578
"14","map05168",578
"15","map05169",578
"16","map05170",578
"17","map05200",578
"18","map05202",578
"19","map05203",578
"20","map05206",578
"21","map05210",578
"22","map05212",578
"23","map05213",578
"24","map05214",578
"25","map05216",578
"26","map05217",578
"27","map05218",578
"28","map05220",578
"29","map05222",578
"30","map05223",578
"31","map05224",578
"32","map05225",578
"33","map05226",578
"34","map04141",9373
"35","map04010",9344
"36","map01521",5894
"37","map01522",5894
"38","map04010",5894
"39","map04012",5894
"40","map04014",5894
"41","map04015",5894
"42","map04022",5894
"43","map04024",5894
"44","map04062",5894
"45","map04068",5894
"46","map04071",5894
"47","map04072",5894
"48","map04140",5894
"49","map04150",5894
"50","map04151",5894
"51","map04210",5894
"52","map04218",5894
"53","map04270",5894
"54","map04360",5894
"55","map04370",5894
"56","map04371",5894
"57","map04510",5894
"58","map04540",5894
"59","map04550",5894
"60","map04613",5894
"61","map04625",5894
"62","map04630",5894
"63","map04650",5894
"64","map04660",5894
"65","map04662",5894
"66","map04664",5894
"67","map04666",5894
"68","map04720",5894
"69","map04722",5894
"70","map04726",5894
"71","map04730",5894
"72","map04810",5894
"73","map04910",5894
"74","map04912",5894
"75","map04914",5894
"76","map04915",5894
"77","map04916",5894
"78","map04917",5894
"79","map04919",5894
"80","map04921",5894
"81","map04926",5894
"82","map04928",5894
"83","map04929",5894
"84","map04935",5894
"85","map05010",5894
"86","map05022",5894
"87","map05034",5894
"88","map05132",5894
"89","map05152",5894
"90","map05160",5894
"91","map05161",5894
"92","map05163",5894
"93","map05164",5894
"94","map05165",5894
"95","map05167",5894
"96","map05170",5894
"97","map05200",5894
"98","map05205",5894
"99","map05206",5894
"100","map05207",5894
"101","map05208",5894
"102","map05210",5894
"103","map05211",5894
"104","map05212",5894
"105","map05213",5894
"106","map05214",5894
"107","map05215",5894
"108","map05218",5894
"109","map05219",5894
"110","map05220",5894
"111","map05221",5894
"112","map05223",5894
"113","map05224",5894
"114","map05225",5894
"115","map05226",5894
"116","map05230",5894
"117","map05231",5894
"118","map05235",5894
"119","map01521",673
"120","map01522",673
"121","map04010",673
"122","map04012",673
"123","map04013",673
"124","map04015",673
"125","map04024",673
"126","map04062",673
"127","map04068",673
"128","map04150",673
"129","map04214",673
"130","map04270",673
"131","map04320",673
"132","map04510",673
"133","map04650",673
"134","map04720",673
"135","map04722",673
"136","map04726",673
"137","map04730",673
"138","map04810",673
"139","map04910",673
"140","map04914",673
"141","map04928",673
"142","map04934",673
"143","map05010",673
"144","map05022",673
"145","map05034",673
"146","map05160",673
"147","map05161",673
"148","map05200",673
"149","map05205",673
"150","map05208",673
"151","map05210",673
"152","map05211",673
"153","map05212",673
"154","map05213",673
"155","map05214",673
"156","map05215",673
"157","map05216",673
"158","map05218",673
"159","map05219",673
"160","map05220",673
"161","map05221",673
"162","map05223",673
"163","map05224",673
"164","map05225",673
"165","map05226",673
"166","map04010",5607
"167","map04540",5607
"168","map04722",5607
"169","map04921",5607
"170","map05418",5607
"171","map04010",5598
"172","map04011",5598
"173","map04138",5598
"174","map04139",5598
"175","map04540",5598
"176","map04657",5598
"177","map04722",5598
"178","map04912",5598
"179","map04921",5598
"180","map05206",5598
"181","map05418",5598
"182","map04010",9020
"183","map04064",9020
"184","map04210",9020
"185","map04380",9020
"186","map04625",9020
"187","map04660",9020
"188","map04668",9020
"189","map04672",9020
"190","map04936",9020
"191","map05120",9020
"192","map05166",9020
"193","map05169",9020
"194","map05208",9020
"195","map04010",51701
"196","map04068",51701
"197","map04310",51701
"198","map04520",51701
"199","map01523",4790
"200","map04010",4790
"201","map04014",4790
"202","map04024",4790
"203","map04062",4790
"204","map04064",4790
"205","map04066",4790
"206","map04071",4790
"207","map04151",4790
"208","map04210",4790
"209","map04211",4790
"210","map04218",4790
"211","map04380",4790
"212","map04613",4790
"213","map04620",4790
"214","map04621",4790
"215","map04622",4790
"216","map04623",4790
"217","map04624",4790
"218","map04625",4790
"219","map04657",4790
"220","map04658",4790
"221","map04659",4790
"222","map04660",4790
"223","map04662",4790
"224","map04668",4790
"225","map04722",4790
"226","map04917",4790
"227","map04920",4790
"228","map04926",4790
"229","map04931",4790
"230","map04932",4790
"231","map04933",4790
"232","map04936",4790
"233","map05010",4790
"234","map05022",4790
"235","map05030",4790
"236","map05120",4790
"237","map05130",4790
"238","map05131",4790
"239","map05132",4790
"240","map05133",4790
"241","map05134",4790
"242","map05135",4790
"243","map05140",4790
"244","map05142",4790
"245","map05145",4790
"246","map05146",4790
"247","map05152",4790
"248","map05160",4790
"249","map05161",4790
"250","map05162",4790
"251","map05163",4790
"252","map05164",4790
"253","map05165",4790
"254","map05166",4790
"255","map05167",4790
"256","map05168",4790
"257","map05169",4790
"258","map05170",4790
"259","map05171",4790
"260","map05200",4790
"261","map05202",4790
"262","map05203",4790
"263","map05206",4790
"264","map05207",4790
"265","map05208",4790
"266","map05212",4790
"267","map05215",4790
"268","map05220",4790
"269","map05221",4790
"270","map05222",4790
"271","map05235",4790
"272","map05321",4790
"273","map05415",4790
"274","map05417",4790
"275","map05418",4790
"276","map04010",4791
"277","map04064",4791
"278","map04380",4791
"279","map04625",4791
"280","map05134",4791
"281","map05166",4791
"282","map05169",4791
"283","map05200",4791
"284","map05203",4791
"285","map05224",4791
"286","map04310",64840
"287","map04150",7471
"288","map04310",7471
"289","map04390",7471
"290","map04391",7471
"291","map04550",7471
"292","map04916",7471
"293","map04934",7471
"294","map05010",7471
"295","map05022",7471
"296","map05165",7471
"297","map05200",7471
"298","map05205",7471
"299","map05207",7471
"300","map05217",7471
"301","map05224",7471
"302","map05225",7471
"303","map05226",7471
"304","map04150",7472
"305","map04310",7472
"306","map04390",7472
"307","map04550",7472
"308","map04916",7472
"309","map04934",7472
"310","map05010",7472
"311","map05022",7472
"312","map05165",7472
"313","map05200",7472
"314","map05205",7472
"315","map05217",7472
"316","map05224",7472
"317","map05225",7472
"318","map05226",7472
"319","map04150",7482
"320","map04310",7482
"321","map04390",7482
"322","map04550",7482
"323","map04916",7482
"324","map04934",7482
"325","map05010",7482
"326","map05022",7482
"327","map05165",7482
"328","map05200",7482
"329","map05205",7482
"330","map05217",7482
"331","map05224",7482
"332","map05225",7482
"333","map05226",7482
"335","map04064",148022
"336","map04217",148022
"337","map04620",148022
"338","map04621",148022
"339","map04936",148022
"340","map05133",148022
"341","map05135",148022
"342","map05142",148022
"343","map05160",148022
"344","map05161",148022
"345","map05164",148022
"346","map05165",148022
"347","map05167",148022
"348","map05168",148022
"349","map05235",148022
"350","map05417",148022
"352","map00190",495
"353","map01100",495
"354","map04966",495
"355","map04971",495
"356","map00190",496
"357","map01100",496
"358","map04966",496
"359","map04971",496
"360","map04120",54926
"361","map04120",997
"362","map04020",6546
"363","map04022",6546
"364","map04260",6546
"365","map04261",6546
"366","map04371",6546
"367","map04740",6546
"368","map04961",6546
"369","map04974",6546
"370","map04978",6546
"371","map05410",6546
"372","map05412",6546
"373","map05414",6546
"374","map04020",6543
"375","map04022",6543
"376","map04260",6543
"377","map04261",6543
"378","map04371",6543
"379","map04740",6543
"380","map04961",6543
"381","map04974",6543
"382","map04978",6543
"383","map05410",6543
"384","map05412",6543
"385","map05414",6543
"386","map04020",6547
"387","map04022",6547
"388","map04260",6547
"389","map04261",6547
"390","map04371",6547
"391","map04740",6547
"392","map04961",6547
"393","map04974",6547
"394","map04978",6547
"395","map05410",6547
"396","map05412",6547
"397","map05414",6547
"398","map04020",490
"399","map04022",490
"400","map04024",490
"401","map04261",490
"402","map04925",490
"403","map04961",490
"404","map04970",490
"405","map04972",490
"406","map04978",490
"407","map04020",492
"408","map04022",492
"409","map04024",492
"410","map04261",492
"411","map04925",492
"412","map04961",492
"413","map04970",492
"414","map04972",492
"415","map04978",492
"416","map04020",493
"417","map04022",493
"418","map04024",493
"419","map04261",493
"420","map04925",493
"421","map04961",493
"422","map04970",493
"423","map04972",493
"424","map04978",493
"425","map04020",5350
"426","map04022",5350
"427","map04024",5350
"428","map04261",5350
"429","map04919",5350
"430","map05414",5350
"431","map05415",5350
"433","map04062",5580
"434","map04140",5580
"435","map04270",5580
"436","map04361",5580
"437","map04621",5580
"438","map04625",5580
"439","map04666",5580
"440","map04722",5580
"441","map04750",5580
"442","map04912",5580
"443","map04915",5580
"444","map04930",5580
"445","map04931",5580
"446","map04933",5580
"447","map05020",5580
"448","map05131",5580
"449","map05208",5580
"450","map05415",5580
"451","map04015",5584
"452","map04144",5584
"453","map04390",5584
"454","map04391",5584
"455","map04530",5584
"456","map04611",5584
"457","map04910",5584
"458","map05165",5584
"459","map04015",5587
"460","map04925",5587
"461","map05208",5587
"462","map04015",23683
"463","map04925",23683
"464","map05208",23683
"465","map04015",25865
"466","map04925",25865
