A,B,description,map
Metabolism,Global_map,Metabolic pathways,map01100
Metabolism,Global_map,Biosynthesis of secondary metabolites,map01110
Metabolism,Global_map,Microbial metabolism in diverse environments,map01120
Metabolism,Global_map,Carbon metabolism,map01200
Metabolism,Global_map,2-Oxocarboxylic acid metabolism,map01210
Metabolism,Global_map,Fatty acid metabolism,map01212
Metabolism,Global_map,Biosynthesis of amino acids,map01230
Metabolism,Global_map,Nucleotide metabolism,map01232
Metabolism,Global_map,Biosynthesis of nucleotide sugars,map01250
Metabolism,Global_map,Biosynthesis of cofactors,map01240
Metabolism,Global_map,Degradation of aromatic compounds,map01220
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,map00010
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),map00020
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,map00030
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,map00040
Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism,map00051
Metabolism,Carbohydrate metabolism,Galactose metabolism,map00052
Metabolism,Carbohydrate metabolism,Ascorbate and aldarate metabolism,map00053
Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism,map00500
Metabolism,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,map00520
Metabolism,Carbohydrate metabolism,Pyruvate metabolism,map00620
Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,map00630
Metabolism,Carbohydrate metabolism,Propanoate metabolism,map00640
Metabolism,Carbohydrate metabolism,Butanoate metabolism,map00650
Metabolism,Carbohydrate metabolism,C5-Branched dibasic acid metabolism,map00660
Metabolism,Carbohydrate metabolism,Inositol phosphate metabolism,map00562
Metabolism,Energy metabolism,Oxidative phosphorylation,map00190
Metabolism,Energy metabolism,Photosynthesis,map00195
Metabolism,Energy metabolism,Photosynthesis - antenna proteins,map00196
Metabolism,Energy metabolism,Carbon fixation in photosynthetic organisms,map00710
Metabolism,Energy metabolism,Carbon fixation pathways in prokaryotes,map00720
Metabolism,Energy metabolism,Methane metabolism,map00680
Metabolism,Energy metabolism,Nitrogen metabolism,map00910
Metabolism,Energy metabolism,Sulfur metabolism,map00920
Metabolism,Lipid metabolism,Fatty acid biosynthesis,map00061
Metabolism,Lipid metabolism,Fatty acid elongation,map00062
Metabolism,Lipid metabolism,Fatty acid degradation,map00071
Metabolism,Lipid metabolism,"Cutin, suberine and wax biosynthesis",map00073
Metabolism,Lipid metabolism,Steroid biosynthesis,map00100
Metabolism,Lipid metabolism,Primary bile acid biosynthesis,map00120
Metabolism,Lipid metabolism,Secondary bile acid biosynthesis,map00121
Metabolism,Lipid metabolism,Steroid hormone biosynthesis,map00140
Metabolism,Lipid metabolism,Glycerolipid metabolism,map00561
Metabolism,Lipid metabolism,Glycerophospholipid metabolism,map00564
Metabolism,Lipid metabolism,Ether lipid metabolism,map00565
Metabolism,Lipid metabolism,Sphingolipid metabolism,map00600
Metabolism,Lipid metabolism,Arachidonic acid metabolism,map00590
Metabolism,Lipid metabolism,Linoleic acid metabolism,map00591
Metabolism,Lipid metabolism,alpha-Linolenic acid metabolism,map00592
Metabolism,Lipid metabolism,Biosynthesis of unsaturated fatty acids,map01040
Metabolism,Nucleotide metabolism,Purine metabolism,map00230
Metabolism,Nucleotide metabolism,Pyrimidine metabolism,map00240
Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",map00250
Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism",map00260
Metabolism,Amino acid metabolism,Cysteine and methionine metabolism,map00270
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",map00280
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",map00290
Metabolism,Amino acid metabolism,Lysine biosynthesis,map00300
Metabolism,Amino acid metabolism,Lysine degradation,map00310
Metabolism,Amino acid metabolism,Arginine biosynthesis,map00220
Metabolism,Amino acid metabolism,Arginine and proline metabolism,map00330
Metabolism,Amino acid metabolism,Histidine metabolism,map00340
Metabolism,Amino acid metabolism,Tyrosine metabolism,map00350
Metabolism,Amino acid metabolism,Phenylalanine metabolism,map00360
Metabolism,Amino acid metabolism,Tryptophan metabolism,map00380
Metabolism,Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",map00400
Metabolism,Metabolism of other amino acids,beta-Alanine metabolism,map00410
Metabolism,Metabolism of other amino acids,Taurine and hypotaurine metabolism,map00430
Metabolism,Metabolism of other amino acids,Phosphonate and phosphinate metabolism,map00440
